Date,t,Quelle_temp,Time_temp,eco2,Quelle_co2,Time_co2
2021-01-08,3.052,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:34,3223.1,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:27
2021-01-08,3.052,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:34,2406.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:31
2021-01-08,3.052,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:34,2313.3,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:36
2021-01-08,4.168,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:28,3223.1,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:27
2021-01-08,4.168,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:28,2406.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:31
2021-01-08,4.168,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:28,2313.3,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:36
2021-01-04,10.715,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:38,1798.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:27
2020-12-30,39.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:11,1942.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:50
2020-12-30,39.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:11,2128.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:43
2020-12-30,39.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:11,1944.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",15:00:31
2020-12-30,39.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:11,2803.1,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:13
2020-12-30,39.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:11,1882.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:05:26
2020-12-29,42.045,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:22,1757.65,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:56
2020-12-28,2.723,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:36,2475.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:23
2020-12-28,2.723,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:36,2446.75,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:01
2020-12-28,2.723,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:36,2211.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:22
2020-12-28,3.493,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:28,2475.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:23
2020-12-28,3.493,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:28,2446.75,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:01
2020-12-28,3.493,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:28,2211.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:22
2020-12-28,42.395,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:23,2475.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:23
2020-12-28,42.395,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:23,2446.75,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:01
